gu,ppl_old,metro_count,main_count,ppl_old_need,alone_rate
종로구,24104,15,87,46.6 ,0.045015 
중구,19567,23,66,51.9 ,0.042536 
용산구,33249,18,125,41.2 ,0.035444 
성동구,40351,19,204,51.3 ,0.030405 
광진구,44147,11,146,48.0 ,0.026084 
동대문구,54424,11,200,57.9 ,0.041952 
중랑구,58796,13,232,65.0 ,0.030704 
성북구,64245,9,217,58.6 ,0.030922 
강북구,55416,3,173,68.6 ,0.044997 
도봉구,53507,8,224,64.0 ,0.032718 
노원구,73952,16,324,67.1 ,0.033857 
은평구,72731,16,221,63.2 ,0.036586 
서대문구,47662,7,156,58.8 ,0.033782 
마포구,47608,21,195,51.4 ,0.027090 
양천구,55261,6,243,58.3 ,0.025327 
강서구,76847,20,291,61.1 ,0.026676 
구로구,61886,13,244,57.2 ,0.026481 
금천구,35489,4,112,60.5 ,0.033737 
영등포구,55008,20,246,45.4 ,0.033334 
동작구,57284,16,185,49.1 ,0.028740 
관악구,70346,4,183,55.6 ,0.031655 
서초구,51722,19,168,26.6 ,0.020631 
강남구,64113,29,224,28.9 ,0.020312 
송파구,74388,22,243,38.2 ,0.020194 
강동구,56925,11,176,51.8 ,0.027375 